sku,name,price,description,is_in_stock,ADVERTISER CATEGORY
YOGAFLOP.PINK-5,YOGAFLOPS  (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPS™. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
